ps_partkey	value
1784	13440544.00
2084	12746369.48
602	12367753.48
1334	11900338.42
2293	11531950.14
1688	11396671.39
1144	11186594.48
2380	10112484.25
82	9489137.52
2231	9382469.50
643	9348290.55
2423	9171254.65
2191	9054413.55
1100	8890087.60
1732	8597039.36
424	8547527.10
1884	8532644.34
1274	8473204.95
792	8389583.76
1736	8266827.26
1394	8255140.60
1775	8008504.20
2443	8007529.76
1497	7921211.41
1952	7731708.60
134	7530635.06
869	7509094.47
8	7450810.66
2987	7207393.50
365	7144173.12
2669	7090471.74
2002	7061513.68
337	7022320.29
147	6989079.88
1653	6949533.70
1140	6929464.08
2302	6777464.08
1319	6669049.17
771	6627096.34
973	6615825.30
943	6458641.70
2593	6417807.90
2296	6275519.25
1257	6257107.28
1090	6247001.58
1553	6241230.55
1699	6237891.00
597	6183103.47
493	6144995.15
1134	6078685.20
2590	6055918.83
2776	6041260.12
1348	6019390.83
2920	6007295.25
1537	5981399.45
2743	5902135.80
2052	5880784.00
2391	5876706.72
526	5826626.80
2140	5784403.44
2643	5751563.02
1836	5743733.22
893	5739018.12
2334	5652591.96
1481	5615194.00
262	5553285.32
1876	5517997.59
1125	5514223.46
1312	5496649.40
229	5474987.60
1726	5401473.12
1608	5353853.92
1164	5352744.06
1934	5343406.02
941	5317645.45
532	5305544.29
300	5294226.04
2875	5287966.71
813	5284444.35
678	5230378.17
1356	5192649.28
182	5191583.73
345	5183851.14
670	5179458.24
1593	5165301.36
512	5163062.40
2547	5140252.26
1797	5072903.34
2838	5053168.68
1803	5044442.13
1532	5033171.00
1540	4985353.30
834	4955885.55
1887	4934262.24
221	4926661.08
693	4886805.63
2244	4886246.10
1040	4879579.90
1007	4878374.26
2615	4780816.92
1405	4778008.95
1153	4763435.85
652	4648158.92
1879	4605287.40
2792	4601681.06
2129	4564200.53
2475	4529761.50
1451	4521776.65
700	4507842.38
2761	4502905.50
1438	4465247.27
395	4435528.14
417	4430934.78
267	4424254.38
2133	4360104.54
482	4315726.82
2847	4303990.07
933	4295945.26
2964	4279416.78
2752	4270063.23
226	4252845.30
2737	4252412.53
2434	4235224.64
1446	4200202.77
1380	4199945.07
1377	4199716.08
1440	4195185.54
1543	4159568.16
2282	4140338.40
1749	4127844.24
2576	4106831.19
2400	4078378.15
2034	4054626.94
1969	4041360.99
2432	4040676.72
746	3980599.76
1928	3964898.76
2181	3959665.60
1052	3946221.76
2534	3936851.16
1852	3923035.02
1492	3909370.92
584	3843848.30
369	3829816.30
2972	3821903.55
2816	3816590.80
2857	3810886.20
760	3797053.09
1303	3781306.40
800	3771097.12
2561	3769475.91
2280	3760555.35
2	3743241.43
1885	3742788.49
158	3737919.40
676	3735715.20
1832	3709008.60
744	3701197.50
376	3659361.94
155	3658666.13
2602	3645749.19
2916	3636842.11
1484	3620524.35
1434	3606050.80
734	3603719.70
2996	3592241.12
2969	3578550.52
128	3567004.56
297	3555340.17
1552	3516538.10
119	3515335.63
2378	3512186.20
294	3507079.96
1337	3501107.08
2047	3500003.52
108	3469209.26
1525	3452918.70
1870	3414886.08
2494	3350531.58
76	3342081.82
1082	3327066.09
1199	3322818.55
635	3300665.27
1081	3290831.07
2824	3279928.06
2902	3270559.68
2276	3236172.30
2864	3235882.73
2834	3233397.96
1702	3226441.68
1207	3178617.00
2784	3173585.27
2180	3164190.40
1120	3163236.90
1529	3108346.56
434	3090003.15
1561	3065338.42
2363	3033336.60
404	3028751.88
45	3019876.30
2476	2992189.07
2219	2966859.34
384	2964262.77
747	2911631.61
2689	2886185.13
2510	2841185.52
306	2816487.50
2216	2802875.55
2717	2791742.16
1423	2790667.16
2697	2788607.76
711	2777050.64
563	2757797.31
2764	2740955.80
596	2732389.50
1904	2690413.56
2622	2688659.97
2614	2667835.32
1647	2653650.24
15	2617258.80
2525	2617038.48
1541	2603175.96
1302	2592197.76
43	2587359.58
2168	2569918.40
1756	2564568.96
1047	2549119.60
2783	2544337.25
1747	2542540.92
1634	2496949.03
208	2494811.25
1678	2462885.00
611	2451282.00
196	2429515.15
2729	2426719.47
1239	2405206.30
47	2404957.26
827	2404426.14
2348	2393642.40
1572	2383986.80
2926	2380835.89
1267	2377045.44
36	2373632.35
313	2373041.36
2872	2357440.57
665	2347482.88
2125	2338714.05
1505	2313669.00
741	2313377.95
193	2297808.67
1506	2289064.86
2884	2267997.87
1982	2263342.09
259	2262044.92
806	2259874.20
984	2244280.12
1993	2244222.42
2317	2240899.45
218	2239433.84
2132	2236929.81
1229	2230521.28
1065	2218120.33
517	2212240.05
494	2211979.05
145	2183476.58
1349	2152904.66
1486	2136442.65
751	2115550.58
884	2107479.56
2676	2103781.12
2940	2098721.44
2200	2095931.82
1600	2093280.89
1102	2084443.92
2540	2076099.60
1599	2066393.60
2082	2062732.74
2332	2054753.06
1795	2034714.71
1937	2026828.15
2287	2020754.32
2630	2019727.47
419	2014395.07
2819	2009524.12
2431	1969593.11
1344	1954551.85
2570	1950138.36
1347	1942846.32
202	1935475.68
964	1931188.05
2176	1918347.12
2779	1880285.73
782	1866799.55
486	1864719.37
1126	1859953.86
1231	1856228.81
2976	1835995.70
1835	1812983.21
719	1759631.91
1640	1736828.34
564	1727505.36
276	1726659.16
453	1706328.60
71	1704564.27
953	1681643.61
234	1668874.59
2538	1662383.94
110	1635451.58
1188	1633537.83
2076	1628876.08
1984	1624122.64
637	1617422.20
2804	1614125.86
408	1603192.64
2097	1582910.37
238	1580162.58
2428	1577543.92
2093	1576987.20
1096	1574417.91
1821	1570326.94
2657	1561319.36
2626	1529303.60
2328	1512200.13
1232	1505952.24
892	1491389.25
1019	1490507.20
1276	1467567.28
2572	1455769.26
1402	1448013.12
1693	1438253.02
2721	1411819.40
632	1408087.26
1184	1406101.78
2997	1386775.00
454	1348948.98
1155	1347467.31
1895	1342965.50
84	1334146.71
170	1332247.51
352	1326102.34
1196	1318496.66
784	1309867.02
2339	1309440.42
2685	1287949.75
1292	1284480.81
2684	1273999.17
231	1265433.30
2441	1244563.32
2369	1235527.02
679	1224848.46
1682	1213875.00
2520	1202178.70
1587	1197201.60
890	1177471.35
2769	1173319.24
1780	1146614.40
523	1144435.89
1898	1141331.55
2885	1135838.14
1393	1125610.36
2384	1119317.31
2183	1111783.88
39	1106183.26
2019	1098178.64
97	1095432.60
793	1081096.20
1769	1064794.20
1359	1051088.52
544	1044895.50
2724	1026757.95
556	1017791.04
2913	1015751.62
1034	1006043.22
952	997684.24
1701	994231.40
2481	991481.92
1005	989679.60
2326	983979.30
932	980620.68
356	978736.25
2519	976593.17
385	972313.60
2496	965803.23
2678	959590.08
659	954291.05
2143	947641.20
2644	946483.20
10	933324.00
785	932995.80
572	906111.99
32	894484.09
269	894066.10
1336	893552.76
2732	892538.01
91	889813.65
826	888506.55
409	879477.18
188	869054.00
1111	867387.43
1460	864318.15
2467	854289.38
1426	848352.01
447	840189.33
380	837419.52
1628	832363.52
2951	830313.15
284	826642.60
2184	804505.72
976	796702.55
123	794791.15
502	790795.65
2345	778411.80
1058	761400.42
2265	755775.89
868	748493.06
802	711373.65
858	710482.01
859	703346.56
246	701056.52
1933	693459.13
1004	692481.36
905	691178.40
6	690254.75
2672	689090.16
842	681284.39
1187	681211.05
1048	673851.31
1284	671225.94
850	670250.46
1212	661952.63
720	661303.72
2624	654492.52
2069	651239.05
1708	650775.78
2979	649434.50
1382	642607.81
2934	641426.76
2232	632977.10
552	622856.59
948	622068.66
996	606177.14
1619	604778.23
1827	600217.50
1846	594865.44
1588	590191.40
2466	588681.08
1936	585373.32
1289	583848.00
302	582503.76
73	580429.92
684	571490.70
2878	554784.12
703	554763.36
2589	539536.14
304	535868.16
1152	529642.53
1496	527751.84
462	506294.10
624	505336.02
2728	495224.28
1576	494401.05
1414	489814.29
2549	486410.12
1247	476249.20
2152	472600.44
997	470144.16
2196	467357.83
1016	463717.50
2931	462206.22
2528	451368.75
489	450097.92
1849	447391.24
1169	436651.95
1392	422345.88
2870	404435.68
706	392540.80
2698	389650.80
758	386629.48
918	380610.09
2484	375119.84
1469	369072.72
1734	368501.40
23	364061.25
52	358792.36
1643	357787.99
2026	354512.94
1947	342099.34
2234	336864.37
2224	335778.44
1944	323262.68
1788	315841.75
2247	313375.76
1843	309456.95
256	308369.40
897	307519.07
2043	299313.60
1922	298077.40
2928	284021.94
2832	281938.61
1584	278559.38
1790	277454.80
477	277340.91
1632	266143.26
2582	265885.76
1919	263719.19
1950	261244.14
2635	258043.50
1109	257814.15
1740	257584.92
1635	254834.56
443	248462.31
115	244723.04
2984	240528.12
2372	235824.68
2274	234472.43
2941	230486.40
2117	226797.60
183	225827.28
991	219933.55
2908	219166.74
504	219054.42
1093	215388.84
2882	211253.70
2581	208715.00
592	207246.60
2145	205879.10
1243	199587.54
2893	199501.95
2242	198461.56
464	179639.88
164	179298.68
2101	179265.45
1646	179262.72
1388	177310.00
909	175099.00
817	170795.52
1686	169771.32
900	164737.82
1855	164614.81
2149	164392.20
415	159242.16
1252	158680.90
