l_orderkey	revenue	o_orderdate	o_shippriority
32965	313719.1095	1995-02-25	0
24960	285456.3932	1995-01-28	0
78916	283890.2617	1995-01-24	0
47714	280663.9326	1995-03-11	0
49761	273684.6485	1995-01-25	0
39878	246919.3744	1995-03-06	0
22276	241760.2926	1995-01-29	0
58049	233716.9366	1995-03-07	0
16100	228765.7802	1995-03-08	0
1637	220730.1571	1995-02-08	0
45059	213126.0586	1995-02-04	0
52868	205584.7938	1995-02-17	0
20262	196176.2031	1994-12-27	0
450	195154.1271	1995-03-05	0
66981	185429.0157	1995-02-05	0
75714	185172.8004	1995-02-25	0
36197	183261.3253	1995-01-25	0
81120	182944.0855	1995-02-25	0
22561	178608.7195	1995-01-21	0
16096	178264.6330	1995-01-20	0
51461	177722.0740	1995-02-11	0
4134	176493.8598	1995-01-12	0
44418	176060.1998	1995-02-01	0
18688	167823.7680	1995-03-06	0
7462	166832.6770	1995-02-21	0
88933	165067.9974	1995-02-11	0
51777	163073.0560	1995-02-20	0
40962	160768.2426	1995-02-21	0
37734	160114.2428	1994-12-27	0
45155	159885.3713	1995-02-16	0
22849	158817.7820	1995-02-15	0
25095	158042.9526	1995-01-26	0
14503	155631.5484	1995-02-06	0
30725	154364.4924	1994-12-29	0
81569	152343.0082	1995-02-11	0
46307	150878.7776	1995-02-07	0
70820	150038.3722	1995-02-22	0
88962	148528.6929	1995-02-28	0
73255	146229.4980	1995-01-20	0
15428	144347.5502	1995-02-10	0
51974	137358.2741	1995-01-27	0
45543	135875.2892	1995-02-03	0
4960	134624.0780	1995-02-26	0
89122	134024.3108	1995-02-08	0
74915	133165.1525	1995-02-13	0
10914	130262.5478	1995-01-23	0
78625	129312.8212	1995-02-15	0
35555	127428.2566	1995-03-05	0
25799	126653.7607	1995-02-25	0
41765	124159.4742	1994-12-10	0
73153	120694.3164	1995-03-01	0
40356	119237.1336	1994-12-20	0
930	115714.4824	1994-12-17	0
59047	115334.7395	1995-01-29	0
65156	114532.2404	1995-02-07	0
40001	114503.1072	1995-02-25	0
70695	114220.0730	1995-01-11	0
22433	114189.9996	1995-03-04	0
69603	113575.2378	1994-12-18	0
1092	113474.2790	1995-03-04	0
12326	113283.3096	1995-02-03	0
60256	111330.5148	1994-11-21	0
13956	107803.7655	1995-03-13	0
73697	106564.5644	1995-02-14	0
15719	105649.6416	1995-01-19	0
87616	104840.1934	1995-02-20	0
49443	103078.5000	1995-01-24	0
50789	102223.6428	1995-03-13	0
50949	102134.0359	1995-02-05	0
17317	100478.4860	1994-12-04	0
74117	99727.7974	1995-01-09	0
71489	99213.8184	1995-02-21	0
84352	99148.4004	1995-03-08	0
43392	98972.3362	1995-01-01	0
