nation	o_year	sum_profit
ALGERIA	1998	255315.6263
ALGERIA	1997	656097.4019
ALGERIA	1996	369441.1632
ALGERIA	1995	991856.2148
ALGERIA	1994	861432.0332
ALGERIA	1993	628769.9968
ALGERIA	1992	346552.0710
ARGENTINA	1998	309348.3197
ARGENTINA	1997	641774.1581
ARGENTINA	1996	691495.7875
ARGENTINA	1995	827740.8753
ARGENTINA	1994	782676.1523
ARGENTINA	1993	661307.0096
ARGENTINA	1992	597739.0715
BRAZIL	1998	200579.1366
BRAZIL	1997	616505.7596
BRAZIL	1996	565454.1912
BRAZIL	1995	970836.1082
BRAZIL	1994	238614.8875
BRAZIL	1993	737528.6274
BRAZIL	1992	746712.5086
CANADA	1998	124800.6336
CANADA	1997	462154.9700
CANADA	1996	217916.7320
CANADA	1995	226770.3024
CANADA	1994	323709.3576
CANADA	1993	308687.8732
CANADA	1992	241871.0004
CHINA	1998	671064.9029
CHINA	1997	1173159.7401
CHINA	1996	1307114.7730
CHINA	1995	1574533.9095
CHINA	1994	1563409.8623
CHINA	1993	1061924.3594
CHINA	1992	1298298.7618
EGYPT	1998	650842.0409
EGYPT	1997	1028384.4773
EGYPT	1996	1245213.3027
EGYPT	1995	1114737.3663
EGYPT	1994	929462.4045
EGYPT	1993	1066635.2597
EGYPT	1992	1075523.8461
ETHIOPIA	1998	620461.2908
ETHIOPIA	1997	710191.6333
ETHIOPIA	1996	627874.1149
ETHIOPIA	1995	539120.9838
ETHIOPIA	1994	731066.3901
ETHIOPIA	1993	495765.7401
ETHIOPIA	1992	668637.8168
FRANCE	1998	518473.5874
FRANCE	1997	1000976.9826
FRANCE	1996	954836.2138
FRANCE	1995	878766.5538
FRANCE	1994	647823.8036
FRANCE	1993	726472.2692
FRANCE	1992	897940.6346
GERMANY	1998	597179.5450
GERMANY	1997	1429334.0242
GERMANY	1996	1265618.8607
GERMANY	1995	1230459.0251
GERMANY	1994	999033.1221
GERMANY	1993	1233862.3585
GERMANY	1992	1460243.4262
INDIA	1998	441314.3467
INDIA	1997	950266.5497
INDIA	1996	1219439.2412
INDIA	1995	617513.7277
INDIA	1994	945648.2001
INDIA	1993	1046109.0633
INDIA	1992	1229278.0948
INDONESIA	1998	222889.3004
INDONESIA	1997	651912.6242
INDONESIA	1996	539931.7731
INDONESIA	1995	567028.2441
INDONESIA	1994	535670.3775
INDONESIA	1993	588483.7901
INDONESIA	1992	517461.7843
IRAN	1998	208137.3980
IRAN	1997	347673.1766
IRAN	1996	331269.7889
IRAN	1995	530523.6601
IRAN	1994	410330.5169
IRAN	1993	373577.9025
IRAN	1992	319741.6045
IRAQ	1998	247239.0873
IRAQ	1997	321022.3841
IRAQ	1996	485930.6177
IRAQ	1995	351021.2135
IRAQ	1994	377355.6274
IRAQ	1993	337800.4569
IRAQ	1992	235640.2240
JAPAN	1998	337364.9360
JAPAN	1997	919407.8541
JAPAN	1996	850050.4766
